NDVI01,NDVI02,NDVI03,NDVI04,NDVI05,NDVI06,NDVI07,NDVI08,NDVI09,NDVI10,NDVI11,NDVI12
0.153184165,0.222614841,0.498527556,0.611279826,0.285031847,0.11277533,0.529626253,0.546617066,0.604373757,0.571358509,0.620985011,0.496628001
0.137896825,0.106035889,0.169625992,0.330396476,0.594654788,0.22796748,0.578199052,0.66160405,0.783453637,0.777313121,0.729177312,0.636792453
0.12248062,0.088122605,0.18212078,0.376036866,0.431041581,0.350421585,0.63002681,0.724556962,0.844643373,0.673306773,0.736385162,0.635118306
0.085279188,0.091887046,0.140729126,0.243527508,0.22483468,0.046875,0.579179966,0.666856817,0.611009174,0.625422583,0.6121673,0.208681135
0.09167842,0.094313454,0.247900467,0.367800454,0.546882919,0.476697248,0.699308031,0.768818357,0.753445346,0.711491443,0.70703979,0.647930821
0.069425287,0.089437475,0.341625944,0.477272727,0.401512137,0.485559567,0.645995893,0.721054984,0.791509671,0.651018601,0.728515032,0.517911354
0.095734597,0.14349277,0.250549451,0.506927855,0.686219081,0.266536965,0.665932129,0.785984848,0.761609907,0.774968394,0.8126922,0.679664067
0.090909091,0.087586641,0.198640117,0.282405126,0.441826215,0.494015683,0.659619008,0.691695906,0.862710586,0.728882438,0.669457364,0.569498649
0.248351648,0.109055501,0.195110484,0.342990654,0.315361575,0.391588107,0.716188098,0.835339064,0.909162099,0.655613264,0.570131181,0.553707554
0.091393079,0.122232064,0.337025991,0.426532326,0.370590567,0.50660793,0.610808455,0.650925733,0.667829119,0.661552766,0.583042394,0.497164461
0.098770666,0.100236247,0.177167474,0.284934956,0.259048971,0.381283836,0.466721111,0.590392451,0.645409317,0.643087427,0.556237219,0.416831683
0.105893627,0.18096932,0.314262691,0.562876657,0.779758116,0.240789474,0.621091927,0.738363547,0.896482412,0.75663819,0.745236799,0.719487909
0.350058343,0.157894737,0.186379928,0.269430052,0.199678586,0.179692308,0.414333175,0.545237464,0.5856146,0.621159498,0.612275007,0.528250137
0.121588089,0.17781155,0.293969849,0.518755718,0.641726619,0.249261084,0.657230634,0.722391084,0.88130719,0.706111834,0.642454788,0.623243934
0.0824434,0.092389092,0.169842585,0.377986348,0.426829268,0.489525438,0.658362989,0.714029181,0.82292179,0.731846614,0.770368379,0.653333333
0.122286924,0.286956522,0.581337221,0.753406666,0.225461035,0.139920046,0.563539908,0.650013358,0.677011494,0.717253318,0.75255814,0.394833948
0.137876387,0.119592875,0.217965654,0.378432153,0.549882168,0.498210218,0.618263121,0.649019608,0.810731707,0.744512034,0.76386526,0.602023609
0.122586062,0.231437256,0.344856661,0.522349936,0.568893922,0.376957884,0.665029031,0.680587193,0.777538379,0.65896461,0.679529773,0.519764783
0.099035933,0.136009587,0.239937271,0.582468281,0.598430988,0.285996055,0.659704295,0.772763054,0.882970743,0.641887524,0.765964344,0.560945274
0.112373737,0.101943673,0.186107471,0.235772358,0.301362948,0.48502994,0.58961474,0.667206665,0.821444594,0.738812785,0.723744292,0.591374067
0.110052406,0.192873051,0.291170431,0.48559322,0.418584825,0.550761421,0.721370036,0.811066127,0.890996399,0.752075263,0.810180624,0.507526271
0.1152513,0.154826958,0.346201743,0.533826638,0.581338742,0.456422966,0.676497696,0.769602207,0.860313011,0.684473602,0.659279778,0.566519224
0.089342404,0.094939356,0.329957806,0.537696135,0.434423284,0.269267364,0.643037975,0.691845692,0.771047228,0.639506173,0.682044888,0.207171315
0.120044668,0.121748179,0.21691974,0.323504634,0.468624833,0.328054299,0.578163772,0.646258503,0.812448133,0.692307692,0.730013106,0.570175439
0.149556401,0.155973451,0.26984127,0.478303748,0.423616846,0.466186475,0.655458314,0.801092896,0.888039457,0.748974569,0.788925081,0.599762117
0.111650485,0.094416244,0.127596439,0.282334385,0.242497413,0.312720848,0.471941122,0.466329114,0.732307692,0.677580605,0.663634001,0.586455731
0.085344828,0.094430993,0.479530764,0.337997847,0.406213134,0.462885738,0.615835777,0.662428759,0.83360522,0.754639672,0.748420448,0.603453592
0.096303058,0.097852029,0.194703286,0.348127601,0.514460285,0.555645816,0.708409842,0.784517881,0.733563162,0.7236404,0.760731521,0.758849558
0.141356256,0.182139699,0.179780639,0.387243736,0.561576355,0.375722543,0.629732869,0.710741472,0.691899853,0.774464119,0.761269841,0.445242886
0.106067624,0.17084494,0.259587021,0.385485391,0.511013216,0.467589679,0.68179853,0.71282765,0.789299504,0.784647629,0.755309602,0.414910026
0.100848256,0.117123532,0.221707478,0.345945946,0.39025284,0.393526405,0.444983819,0.522601985,0.704127749,0.680072573,0.636098981,0.388601036
0.111000498,0.097161572,0.123254402,0.227183191,0.216284987,0.262646702,0.488721805,0.504480759,0.752212389,0.698047937,0.600207415,0.547592385
0.083253589,0.092436975,0.304109589,0.518900344,0.551304348,0.561263158,0.688193085,0.759562842,0.836886006,0.770114943,0.806556489,0.673814898
0.075244545,0.142857143,0.418723404,0.579332791,0.627376426,0.55959596,0.715103209,0.769315918,0.827135678,0.76961958,0.865656566,0.719356628
0.095696203,0.135534318,0.222793087,0.445802771,0.558841651,0.376959782,0.627906977,0.737509707,0.782051282,0.719204512,0.778042959,0.713425647
0.089439655,0.087504501,0.166089965,0.241706161,0.416744186,0.464136622,0.694568121,0.838675885,0.834570886,0.831767338,0.855306647,0.740786241
0.089478859,0.089165868,0.205089059,0.256182921,0.393401015,0.348571429,0.636597276,0.771119843,0.813691275,0.720901889,0.650756694,0.197734295
0.110280374,0.13750571,0.285315985,0.428919578,0.385964912,0.50656168,0.680038666,0.807748897,0.864498645,0.73923517,0.737347006,0.641836424
0.090239411,0.076923077,0.227138643,0.34198783,0.566536965,0.356159548,0.664864865,0.712911758,0.828890581,0.74984672,0.771708323,0.713763703
0.113043478,0.107769424,0.309775126,0.531050056,0.435705368,0.508196721,0.663918833,0.664750111,0.683698297,0.624965171,0.669148592,0.135112936
0.159076731,0.101377605,0.20649652,0.294803818,0.318230852,0.328678304,0.521164021,0.488276217,0.710234279,0.672851841,0.638287638,0.256526674
0.111611161,0.084998307,0.195706028,0.366129734,0.507228545,0.53826087,0.651515152,0.707109005,0.729676303,0.713036349,0.658200063,0.562296858
0.078805678,0.103873239,0.216135458,0.284064665,0.430038511,0.368829728,0.637073679,0.826241135,0.847324614,0.772791024,0.782079301,0.198976982
0.086294416,0.104547221,0.28666036,0.462660186,0.422120168,0.524660194,0.691476091,0.76162379,0.86130446,0.754032258,0.82171799,0.682408501
0.107613781,0.145357686,0.22195122,0.359344894,0.537909836,0.371773751,0.576693227,0.574320416,0.718032787,0.705309456,0.676150334,0.326754386
0.128577919,0.225485316,0.377969762,0.590472211,0.46374502,0.528156997,0.725726588,0.843163243,0.87209902,0.70438937,0.684067797,0.298036883
0.141208418,0.073553719,0.224835372,0.326923077,0.365104372,0.531723291,0.679487179,0.747713252,0.838019707,0.717314488,0.734204793,0.580493537
0.088691796,0.133089133,0.238820802,0.416702726,0.507340946,0.517871987,0.617338616,0.663498587,0.73063038,0.745314223,0.823943662,0.514652956
0.119161677,0.093423272,0.223918575,0.337874659,0.54214123,0.294079375,0.682662254,0.805060141,0.909654562,0.750934714,0.720071471,0.666666667
0.118161217,0.096122515,0.226649249,0.37628866,0.531161473,0.278603749,0.672758547,0.76625739,0.888863688,0.746478873,0.777667494,0.563692625
0.107899807,0.166666667,0.192267135,0.436714166,0.555555556,0.216308746,0.662624035,0.756742464,0.768586387,0.7041653,0.725180802,0.702328323
0.23955774,0.108555658,0.355421687,0.50071599,0.498704184,0.536175205,0.729370193,0.821413457,0.901506634,0.720632784,0.741649899,0.603767238
0.095259594,0.136305732,0.276390008,0.431699687,0.506183746,0.41708126,0.655862726,0.776143415,0.880980163,0.689314576,0.664456233,0.574891237
0.09245283,0.126558603,0.33868974,0.547977795,0.705655908,0.53868402,0.726202767,0.781395349,0.791960215,0.636927317,0.659560068,0.471832921
0.062333037,0.068413392,0.223499361,0.421541318,0.260408163,0.468343062,0.618377872,0.676287232,0.795152463,0.731105807,0.74863388,0.586330935
0.084602369,0.118210863,0.215397924,0.428696797,0.430628272,0.498779496,0.63728191,0.756398104,0.816364115,0.761263897,0.755089258,0.154004107
0.119919719,0.14753004,0.373639661,0.606275682,0.740708224,0.492393915,0.592774194,0.687546422,0.774853114,0.785858586,0.857996019,0.586833144
0.144379329,0.249604222,0.333027943,0.510722101,0.753518124,0.57431629,0.680865151,0.733512786,0.803263403,0.790865985,0.823098592,0.630301068
0.088196577,0.12172043,0.333840883,0.489116838,0.346716855,0.529884032,0.681333951,0.763949601,0.865234899,0.771701982,0.801838611,0.639575972
0.189017111,0.099307159,0.20623608,0.485281749,0.409618574,0.52044293,0.710409158,0.796157059,0.904840712,0.736989368,0.624591236,0.556970083
0.107173725,0.137655417,0.307974335,0.456724368,0.53886693,0.37414966,0.631417081,0.645449763,0.825104105,0.710179641,0.743140689,0.569852941
0.133358237,0.094661283,0.250755287,0.337343822,0.583418628,0.32226633,0.61416589,0.781227262,0.87867116,0.773724708,0.797348485,0.685939968
0.087818697,0.112656467,0.204776119,0.451399491,0.539842873,0.367624811,0.644415069,0.724993916,0.88268685,0.703763878,0.752697095,0.6468039
0.093432007,0.098886264,0.164612676,0.417435897,0.485589201,0.451659452,0.700294718,0.772391992,0.776837012,0.716940672,0.812075741,0.669845054
0.09566787,0.148623853,0.203817314,0.378177966,0.510569106,0.433412136,0.641770715,0.653450808,0.815352697,0.750256937,0.736060521,0.548500882
0.108330589,0.139574957,0.231049121,0.488465396,0.652906487,0.313459801,0.66254417,0.742128246,0.897180763,0.788406551,0.820971867,0.765278529
0.106796117,0.1523935,0.433237272,0.577515866,0.428801287,0.519536903,0.696113074,0.693752936,0.77014218,0.733718319,0.842841765,0.326589595
0.101958815,0.086621752,0.175084175,0.330408074,0.543184609,0.548854962,0.697797357,0.784722222,0.788973777,0.768186227,0.756535948,0.701204819
0.110688836,0.129652352,0.304147465,0.482926829,0.558029979,0.314673452,0.589066918,0.593869732,0.710699342,0.745829542,0.737056428,0.46817305
0.11100148,0.116262482,0.219699616,0.407305936,0.52327652,0.412513256,0.61051374,0.731343284,0.805095876,0.80109945,0.791356185,0.668785952
0.091477019,0.079620161,0.17219917,0.303686366,0.388335704,0.502338634,0.594687654,0.61841049,0.803098451,0.768400393,0.790322581,0.692224035
0.682758621,0.589041096,0.320853287,0.2540165,0.321779859,0.411197627,0.560760053,0.702617801,0.815201192,0.793339863,0.867787543,0.774403471
0.110142631,0.139458573,0.25548809,0.414069457,0.510958315,0.430433116,0.612264151,0.612465444,0.777516877,0.746698679,0.700916851,0.464668094
