NDVI01,NDVI02,NDVI03,NDVI04,NDVI05,NDVI06,NDVI07,NDVI08,NDVI09,NDVI10,NDVI11,NDVI12
0.112303565,0.168831169,0.357419355,0.652470187,0.51121991,0.071754459,0.746600985,0.714074621,0.747262005,0.729674797,0.634746206,0.199640288
0.111032781,0.14945956,0.360940695,0.404814004,0.385993485,0.089473684,0.647435897,0.637130802,0.677605779,0.663666509,0.581217058,0.438363171
0.102702703,0.226309922,0.554876616,0.790602457,0.812144644,0.090364026,0.866772403,0.787776528,0.838983051,0.784251252,0.711433325,0.869757174
0.090742438,0.079962371,0.355832722,0.864751053,0.837066207,0.149300857,0.890619341,0.79513532,0.834237026,0.774393146,0.683995923,0.840935673
0.100312082,0.077953715,0.328019131,0.69703121,0.722987672,0.242763772,0.869281046,0.811822315,0.83617327,0.802686429,0.700463201,0.848244621
0.083258729,0.072151485,0.121854305,0.259613386,0.541746092,0.230326296,0.87659651,0.783744557,0.804022251,0.747079736,0.668639053,0.714600551
0.096091205,0.081045319,0.272435897,0.524190858,0.595081967,0.219823356,0.811552485,0.71287478,0.706976744,0.673121611,0.620328849,0.145200193
0.090909091,0.122589532,0.449067432,0.65622724,0.692820627,0.111404668,0.846899616,0.77560241,0.813493769,0.767986876,0.706981318,0.800742574
0.105493765,0.167127072,0.35409342,0.672422815,0.676865271,0.117007395,0.78112609,0.725400458,0.753258036,0.722308892,0.612694997,0.205714286
0.151023561,0.233963663,0.414486922,0.65294772,0.473727591,0.095764273,0.7579722,0.711670481,0.729310345,0.677979076,0.621957535,0.254168772
0.093457944,0.06614786,0.172439479,0.597740569,0.801276208,0.108561342,0.833841463,0.779964851,0.821247892,0.772931974,0.68201045,0.868629054
0.10806023,0.077222583,0.188007495,0.352071006,0.66469153,0.246594645,0.881126173,0.801196056,0.813391085,0.737008586,0.689545935,0.762159409
0.100440529,0.070562636,0.229676961,0.483375959,0.696815287,0.19487909,0.900104785,0.793385612,0.798746775,0.782857143,0.717768401,0.727094424
0.101618705,0.077067083,0.156603774,0.679012346,0.588436268,0.165520403,0.890962312,0.761636107,0.793246323,0.763950617,0.676864245,0.743266476
0.085765604,0.103508012,0.220770519,0.409757762,0.580480126,0.09626556,0.643243243,0.564054957,0.555913113,0.536291507,0.497083205,0.287157287
0.089315526,0.07266436,0.252565376,0.823977824,0.749372289,0.064055488,0.776591689,0.710497238,0.751080025,0.729393468,0.669338083,0.798969072
0.092824226,0.099505999,0.248120301,0.500667557,0.569468268,0.105422993,0.838032394,0.782004946,0.800793485,0.759851646,0.691532258,0.813200498
0.108530236,0.094437257,0.222713864,0.391734369,0.479233227,0.134796238,0.847480886,0.772525849,0.776137761,0.745604964,0.664644236,0.818620066
0.110162917,0.106138107,0.326235741,0.308888003,0.445460943,0.155330882,0.788709677,0.711982411,0.7234375,0.682377049,0.63200871,0.770289245
0.192887514,0.156002876,0.209813255,0.312359551,0.470120898,0.085644372,0.692910581,0.624008279,0.608271109,0.574977001,0.544973545,0.510986442
0.097391304,0.108858859,0.15177923,0.502601457,0.60848884,0.099410278,0.603625876,0.620806634,0.692237857,0.671093939,0.622464899,0.731755424
0.152894607,0.156059992,0.274410774,0.661612131,0.877757685,0.090985678,0.590208905,0.587416818,0.661365762,0.641760491,0.621900826,0.789540013
0.095733611,0.096586783,0.313011152,0.87187443,0.919507367,0.105308964,0.765790372,0.679678949,0.743882545,0.721387882,0.68004398,0.752191701
0.079836233,0.108910891,0.155444722,0.595081967,0.837998809,0.116558742,0.727443609,0.63575419,0.622312609,0.441069259,0.4685222,0.368421053
0.295644891,0.216127861,0.407332998,0.583010006,0.720226843,0.026883756,0.790075632,0.669708972,0.710495513,0.704018913,0.644791189,0.689678742
0.099721891,0.094972067,0.269117647,0.6336021,0.905341653,0.138543517,0.872021784,0.793915604,0.81331293,0.770065076,0.687312917,0.651496103
0.199840128,0.175740868,0.379857256,0.587248322,0.744752309,0.137664698,0.861349918,0.788674033,0.805447471,0.771938057,0.731719128,0.841557749
0.182986265,0.164539496,0.285393258,0.516280821,0.582236842,0.129454217,0.817747712,0.71355963,0.737433722,0.723511604,0.676865271,0.852924146
0.097249128,0.090909091,0.224380442,0.335644136,0.391921182,0.135495335,0.733706517,0.645209581,0.638280616,0.643034483,0.525068871,0.481774513
0.117529081,0.181259601,0.59225011,0.597216853,0.814556331,0.102206213,0.646897497,0.587490692,0.644191714,0.542137552,0.409227082,0.217169136
0.099260413,0.135499208,0.449159327,0.501882733,0.767306574,0.11091779,0.691428571,0.573166237,0.605728728,0.611973392,0.542989036,0.744286597
0.109855618,0.15695682,0.475380483,0.466052473,0.670044589,0.139715987,0.746457296,0.673913043,0.698671727,0.684210526,0.565522425,0.507782101
0.117061021,0.113443955,0.350649351,0.389582437,0.521398433,0.11453561,0.741022851,0.637327678,0.672619048,0.700232019,0.581213307,0.507200838
0.136363636,0.154004107,0.350940018,0.433064825,0.455451024,0.039968026,0.664666431,0.589192934,0.633560416,0.631762653,0.566343042,0.521675597
0.268343816,0.165249538,0.345812808,0.572384035,0.571259376,0.003612479,0.742363878,0.694969819,0.772423025,0.722362443,0.684210526,0.864818024
0.12,0.146184739,0.436029097,0.733333333,0.691592733,0.075471698,0.877657267,0.750841751,0.738085015,0.735810114,0.655795283,0.720618256
0.061515379,0.089542893,0.235785288,0.355437666,0.414395528,0.012951602,0.655512215,0.614581356,0.648342426,0.596381,0.513094083,0.556744579
0.058387396,0.091385522,0.193710692,0.320825516,0.456127629,0.107625272,0.626276076,0.594496155,0.611927209,0.581589958,0.528189911,0.559507524
0.098369279,0.093609361,0.20256917,0.436722751,0.778352181,0.140074212,0.675260775,0.656558655,0.697648376,0.712436431,0.618195016,0.545837724
0.059373875,0.068160598,0.095541401,0.138285714,0.210608424,0.095198675,0.308221659,0.279444269,0.37288834,0.303437967,0.303649635,0.225109956
0.059253247,0.076037564,0.099861304,0.193023943,0.226472374,0.073767258,0.321301966,0.334636689,0.390498262,0.341732283,0.329178029,0.269506537
0.062418158,0.066422913,0.170083523,0.327166204,0.381208054,0.063921064,0.656864514,0.570492933,0.647242863,0.524799244,0.492093023,0.426349052
0.103359173,0.080039854,0.1329806,0.267170953,0.349175929,0.160236042,0.581296493,0.6132441,0.701027006,0.676902537,0.667364017,0.608895335
0.096470588,0.08185907,0.131598513,0.227361564,0.417133707,0.143911439,0.450424929,0.477137871,0.516088592,0.570731707,0.532273152,0.502497502
0.083560896,0.091964286,0.101305718,0.167416292,0.399564902,0.102004454,0.448173005,0.419401896,0.51917005,0.546707504,0.511486665,0.525633803
0.103867403,0.092253795,0.252003562,0.56774916,0.820851689,0.107373868,0.810847856,0.696608274,0.715890851,0.740145985,0.682509506,0.66875
0.115095913,0.128074098,0.251539138,0.618737801,0.777332666,0.077625571,0.776615614,0.672178289,0.717328964,0.689756098,0.636458879,0.595270089
0.08573854,0.088888889,0.139564661,0.219809405,0.525400139,0.117333333,0.67899228,0.634036416,0.686974359,0.694915254,0.617654606,0.552645364
0.104084321,0.098445596,0.16740265,0.295541401,0.385629532,0.11459695,0.729611385,0.679149974,0.719197708,0.700254022,0.66728281,0.587115666
0.089576547,0.070122964,0.100581879,0.128950236,0.247005503,0.107190119,0.505050505,0.592964824,0.658040665,0.582151987,0.528169014,0.443907157
0.071202532,0.065999374,0.10315491,0.080468178,0.256256609,0.112605042,0.307723743,0.376245211,0.459729865,0.397535372,0.298073291,0.239570918
0.100614077,0.072205737,0.127178346,0.145760063,0.35950645,0.107221007,0.46898263,0.535950253,0.621742036,0.557319224,0.524547804,0.355442177
0.088010628,0.085373134,0.184418746,0.37818854,0.359740727,0.083402836,0.63116694,0.631540162,0.644615385,0.641232946,0.578408562,0.649710983
0.088631381,0.145539906,0.683311993,0.540067089,0.546813533,0.101487314,0.699955217,0.383244207,0.273186575,0.322751323,0.310344828,0.25
0.088159032,0.080467446,0.155457552,0.183688739,0.182597231,0.119520074,0.408653846,0.500860585,0.5501868,0.510204082,0.425522834,0.254807692
0.092267135,0.058937198,0.118465589,0.131711085,0.230978261,0.107762557,0.596145423,0.623779193,0.718278116,0.582680792,0.517485613,0.445517241
0.079538555,0.079625293,0.309930716,0.539962477,0.825123733,0.075433643,0.789429879,0.713935931,0.715386262,0.68856799,0.61653152,0.790613718
0.089914945,0.121473121,0.217547001,0.38697318,0.790856542,0.32992,0.730013106,0.731825525,0.772173182,0.800636787,0.658388241,0.838669951
0.11430356,0.20893934,0.503586801,0.522887979,0.628119508,0.299293862,0.831649832,0.654646325,0.635923399,0.66142596,0.577177789,0.662937063
0.091682785,0.076086957,0.313997478,0.367359798,0.724271845,0.040029652,0.727541122,0.798705121,0.806451613,0.685327673,0.603885591,0.751633987
0.095125414,0.085553118,0.324675325,0.393060759,0.543609826,0.071988064,0.800556218,0.744986757,0.71755102,0.694915254,0.638648422,0.826569343
0.064719811,0.067924528,0.072473188,0.111275416,0.194524037,0.107339839,0.456614509,0.492487479,0.558794947,0.5428051,0.472636816,0.356824264
0.068740955,0.063907486,0.054336468,0.12601626,0.215827338,0.095300834,0.397939718,0.519615693,0.606805293,0.570025131,0.551971326,0.411976587
0.103871215,0.147550601,0.302783726,0.583695289,0.653087558,0.132519222,0.755102041,0.729244577,0.746478873,0.725587145,0.635258359,0.805965463
0.092226614,0.083615819,0.231902904,0.680605337,0.608206486,0.087608524,0.80364708,0.773964938,0.794676806,0.761702128,0.721919842,0.74346355
0.123577236,0.069042316,0.262322196,0.622367967,0.474316211,0.087580761,0.699585062,0.700392157,0.729323308,0.696183587,0.627722772,0.798697454
0.087346939,0.103170029,0.539036235,0.710315339,0.572493786,0.139514731,0.823134472,0.78807947,0.806350451,0.749506903,0.698336017,0.861420017
0.066433566,0.076872319,0.341841386,0.478991597,0.484381508,0.250270856,0.793283908,0.778473581,0.792843691,0.796182931,0.689735014,0.891737892
0.098039216,0.161444345,0.563442768,0.749088257,0.762361624,0.418399718,0.741880342,0.725928885,0.768439108,0.789845235,0.671946857,0.829552422
0.083623693,0.101057579,0.397208601,0.456765005,0.519553073,0.194444444,0.844741235,0.775518185,0.79087606,0.807539683,0.676969093,0.860321384
0.107329843,0.175556341,0.461403509,0.818623482,0.930521092,0.209914011,0.891369309,0.788031723,0.796529968,0.78807947,0.680119581,0.75920398
0.094523631,0.107710418,0.427692308,0.5,0.824758842,0.183486239,0.810706289,0.740433925,0.758336942,0.754632588,0.660455487,0.648508431
0.110840438,0.124833997,0.350046425,0.764745534,0.830945559,0.168269231,0.886064855,0.770255672,0.792,0.802597403,0.720144084,0.92612564
0.099666543,0.095541401,0.109004739,0.256797583,0.332051282,0.141414141,0.644268775,0.677873339,0.72972973,0.731390311,0.631868132,0.437588318
0.120681022,0.101214575,0.390243902,1,0.501238331,-0.04730369,0.706028076,0.465447898,0.572985908,0.523532266,0.400379507,0.293939394
0.097945533,0.077569736,0.100282486,0.466386555,0.351401522,-0.08176901,0.777964676,0.605786618,0.631693989,0.629885057,0.592695075,0.533438652
0.090909091,0.02704577,0.065798046,0.143338954,0.172950329,-0.067010309,0.519897304,0.558921315,0.633376793,0.638608305,0.565168539,0.49231532
0.088762984,0.014378145,0.051771117,0.098384728,0.118198874,-0.048702453,0.265465936,0.342723005,0.41594533,0.507794048,0.483341381,0.325591041
0.096742349,0.026487788,0.04622871,0.130039012,0.254112118,-0.092757306,0.451518935,0.50718232,0.623268698,0.607619048,0.533438652,0.439770554
0.082512733,0.050632911,0.096963044,0.228571429,0.296309828,-0.014729951,0.536713655,0.453102453,0.525955734,0.471383975,0.446961895,0.57856434
0.083468659,0.042589438,0.060779817,0.108785284,0.299354839,-0.033160208,0.472575147,0.460076046,0.54603464,0.564295183,0.46278626,0.404072883
0.102886751,0.063953488,0.228971963,0.616825501,0.716133204,-0.004727116,0.756701031,0.690743713,0.736469688,0.677294686,0.62803844,0.583884546
0.104989605,0.107324148,0.271317829,0.525506073,0.551394091,-0.017902813,0.793772746,0.688426111,0.673808483,0.69822741,0.590834697,0.665016502
0.131369799,0.154504688,0.147225863,1,0.289871944,-0.089622642,0.493757094,0.408075265,0.666128164,0.726027397,0.503125,0.486103828
0.094034378,0.023533806,0.053721683,0.115009747,0.165354331,-0.07293256,0.343173432,0.475433526,0.518803806,0.587583149,0.493839836,0.197339246
0.085629921,0.020479,0.05802269,0.314326443,0.193174061,-0.075326414,0.430705394,0.479633028,0.58548233,0.627218935,0.54893617,0.217527387
0.081184336,0.024956063,0.048951049,0.096635648,0.156597535,-0.070951586,0.328143246,0.395057431,0.470117647,0.573953488,0.525473071,0.222398729
0.088840737,0.039757668,0.068722762,0.504975124,0.297178454,-0.09444255,0.444295302,0.532447224,0.666380544,0.694934548,0.637975407,0.33873273
0.07817811,0.062937063,0.192915876,0.452726363,0.586477987,-0.01087942,0.861516035,0.768518519,0.745727386,0.760473974,0.661865049,0.764779874
0.083524402,0.06333527,0.272846811,0.357748389,0.418630752,-0.026086957,0.834899329,0.200124883,0.162237762,0.167131783,0.161290323,0.138655462
0.362113402,0.221411192,0.39046538,1,0.514745973,-0.067816092,0.546284868,0.462275948,0.479295574,0.565352697,0.503387334,0.589175892
0.103372029,0.045923816,0.061061061,0.541310541,0.26977088,-0.081154499,0.43972544,0.559892843,0.685967658,0.683618994,0.135991262,0.107784431
0.104859335,0.044284243,0.051403573,0.173799127,0.170426935,-0.081081081,0.414770459,0.490971039,0.577258138,0.649504015,0.137614679,0.118987342
0.091764706,0.035752979,0.064820642,0.216158753,0.194880933,-0.095052807,0.47957993,0.474616695,0.441696113,0.555709343,0.115832069,0.111474071
0.091581869,0.015286171,0.038993711,0.178191489,0.173110414,-0.092101341,0.374766005,0.499168607,0.564827277,0.611607143,0.131672598,0.091445428
0.090664273,0.074749853,0.173814898,0.718625678,0.844146928,-0.011417697,0.66031746,0.671641791,0.74308653,0.710482529,0.549358617,0.511646166
0.172261484,0.156342183,0.34549281,0.69079607,0.699072207,0.009245742,0.902847571,0.801759531,0.811587793,0.789496434,0.717018284,0.849108368
